chain,chain_families,difficulty,error_type,error_message
extension_pad_pad_val_1,extension,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[2, 2, 2, 1, 2, 2, 2], [2, 2, 2, 1, 0, 1, 2], [2, 2, 2, 1, 2, 2, 2]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [2, 2, 2, 1, 2, 2, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [2, 2, 2, 1, 0, 1, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [2, 2, 2, 1, 2, 2, 2], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_0 -> extension_pad_pad_val_0,iteration -> extension,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 0, 0], [0, 0, 0], [0, 1, 0], [0, 0, 0], [0, 0, 0], [0, 2, 0], [0, 0, 0], [0, 0, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [0, 1, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': [0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': [0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 5), 'msg': 'Input should be a valid string', 'input': [0, 2, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 6), 'msg': 'Input should be a valid string', 'input': [0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 7), 'msg': 'Input should be a valid string', 'input': [0, 0, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
partitioning_crop_quadrant_1 -> extension_pad_pad_val_1,partitioning -> extension,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""1"", ""1"", ""1""], [""1"", ""1"", ""1""], [""1"", ""1"", ""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['1', '1', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['1', '1', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['1', '1', '1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_0_shift_1 -> permutation_transpose,reindexing -> permutation,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[2, 1, 0]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [2, 1, 0], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
extension_pad_pad_val_0 -> iteration_tile_axis_1,extension -> iteration,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""0"", ""0"", ""0"", ""0"", ""0"", ""0""], [""0"", ""1"", ""0"", ""0"", ""1"", ""0""], [""0"", ""0"", ""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0"", ""0"", ""0""], [""0"", ""0"", ""0"", ""0"", ""0"", ""0""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['0', '0', '0', '0', '0', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['0', '1', '0', '0', '1', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['0', '0', '0', '0', '0', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': ['0', '0', '0', '0', '0', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': ['0', '0', '0', '0', '0', '0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
permutation_transpose -> reindexing_spatial_shift_axis_0_shift_1,permutation -> reindexing,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""2""], [""0""], [""2""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['2'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['0'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['2'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_0 -> partitioning_crop_quadrant_4,iteration -> partitioning,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[], [], []]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_1 -> extension_pad_pad_val_9,iteration -> extension,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""9"", ""9"", ""9"", ""9""], [""9"", ""3"", ""3"", ""9""], [""9"", ""3"", ""3"", ""9""], [""9"", ""3"", ""3"", ""9""], [""9"", ""9"", ""9"", ""9""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': ['9', '3', '3', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': ['9', '3', '3', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 3), 'msg': 'Input should be a valid string', 'input': ['9', '3', '3', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 4), 'msg': 'Input should be a valid string', 'input': ['9', '9', '9', '9'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_-1 -> partitioning_crop_quadrant_1,reindexing -> partitioning,medium,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[""1""]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': ['1'], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
reindexing_spatial_shift_axis_1_shift_1,reindexing,easy,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[0, 0, 2, 2, 1]]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [0, 0, 2, 2, 1], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
iteration_tile_axis_0 -> partitioning_crop_quadrant_4,iteration -> partitioning,hard,ResponseParsingError,"Pre-phase failed: Response parsing failed.
Input Value:
---
{""answers"": [[], [], []]}
---
Target Schema:
---
{
  ""properties"": {
    ""answers"": {
      ""items"": {
        ""type"": ""string""
      },
      ""title"": ""Answers"",
      ""type"": ""array""
    }
  },
  ""required"": [
    ""answers""
  ],
  ""title"": ""RoundOutputSchema"",
  ""type"": ""object""
}
---
Parsing Error:
---
[{'type': 'string_type', 'loc': ('answers', 0), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 1), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}, {'type': 'string_type', 'loc': ('answers', 2), 'msg': 'Input should be a valid string', 'input': [], 'url': 'https://errors.pydantic.dev/2.12/v/string_type'}]
---"
